,first_name,last_name,position,team,GP,G,A,PTS,PIM
197,Darnell,Nurse, D ,EDM,71,5,28,33,48
198,Blake,Coleman, C ,NJ/TB,66,21,11,32,56
199,Patric,Hornqvist, RW,PIT,52,17,15,32,36
200,Andrew,Mangiapane, LW,CGY,68,17,15,32,18
201,Jesper,Bratt, LW,NJ,60,16,16,32,6
202,Robby,Fabbri, C ,DET/STL,61,15,17,32,20
203,Jared,Spurgeon, D ,MIN,62,12,20,32,18
204,Adrian,Kempe, RW,LA,69,11,21,32,29
205,Derick,Brassard, C ,NYI,66,10,22,32,16
206,Pavel,Zacha, C ,NJ,65,8,24,32,14
207,John,Klingberg, D ,DAL,58,6,26,32,22
208,Charlie,McAvoy, D ,BOS,67,5,27,32,41
209,Alex,Goligoski, D ,ARI,70,4,28,32,24
210,James,Neal, LW,EDM,55,19,12,31,12
211,Craig,Smith, C ,NSH,69,18,13,31,34
212,Vladislav,Namestnikov, C ,NYR/OTT/COL,65,17,14,31,45
213,Luke,Kunin, C ,MIN,63,15,16,31,55
214,Joe,Pavelski, C ,DAL,67,14,17,31,29
215,Tyler,Johnson, C ,TB,65,14,17,31,16
216,Dominik,Kahun, C ,BUF/PIT,56,12,19,31,8
217,J.T.,Compher, LW,COL,67,11,20,31,18
218,Nick,Foligno, LW,CBJ,67,10,21,31,62
219,Rocco,Grimaldi, C ,NSH,66,10,21,31,10
220,Filip,Hronek, D ,DET,65,9,22,31,46
221,Kyle,Turris, C ,NSH,62,9,22,31,22
222,Damon,Severson, D ,NJ,69,8,23,31,52
223,Joe,Thornton, C ,SJ,70,7,24,31,34
224,Nate,Schmidt, D ,VGS,59,7,24,31,12
225,Mark,Giordano, D ,CGY,60,5,26,31,34
226,Josh,Morrissey, D ,WPG,65,5,26,31,24
227,Mikael,Granlund, C ,NSH,63,17,13,30,28
228,Joel,Armia, RW,MTL,58,16,14,30,28
229,Zach,Sanford, LW,STL,58,16,14,30,28
230,Warren,Foegele, LW,CAR,68,13,17,30,34
231,Yanni,Gourde, LW,TB,70,10,20,30,49
232,Oliver,Ekman-Larsson, D ,ARI,66,9,21,30,38
233,Marcus,Johansson, C ,BUF,60,9,21,30,20
234,Seth,Jones, D ,CBJ,56,6,24,30,20
235,Denis,Gurianov, RW,DAL,64,20,9,29,13
236,Tyler,Bozak, C ,STL,67,13,16,29,10
237,Jesper,Fast, RW,NYR,69,12,17,29,20
238,Jack,Roslovic, C ,WPG,71,12,17,29,12
239,Nino,Niederreiter, RW,CAR,67,11,18,29,42
240,Derek,Ryan, C ,CGY,68,10,19,29,10
241,Cam,Fowler, D ,ANA,59,9,20,29,20
242,Ryan,Dzingel, LW,CAR,64,8,21,29,30
243,Joel,Eriksson Ek, C ,MIN,62,8,21,29,22
244,Erik,Gustafsson, D ,CGY/CHI,66,6,23,29,27
245,Viktor,Arvidsson, RW,NSH,57,15,13,28,26
246,Derek,Stepan, C ,ARI,70,10,18,28,16
247,Colton,Parayko, D ,STL,64,10,18,28,16
248,Alexander,Kerfoot, C ,TOR,65,9,19,28,32
249,Jordan,Greenway, LW,MIN,67,8,20,28,54
250,Devon,Toews, D ,NYI,68,6,22,28,16
251,Jonas,Brodin, D ,MIN,69,2,26,28,24
252,Noel,Acciari, C ,FLA,66,20,7,27,21
253,Jeff,Carter, C ,LA,60,17,10,27,36
254,Scott,Laughton, C ,PHI,49,13,14,27,26
255,Valeri,Nichushkin, RW,COL,65,13,14,27,14
256,Artturi,Lehkonen, LW,MTL,70,13,14,27,24
257,Jordan,Staal, C ,CAR,68,8,19,27,40
258,Jacob,Trouba, D ,NYR,70,7,20,27,61
259,Dmitry,Orlov, D ,WSH,69,4,23,27,36
260,Duncan,Keith, D ,CHI,61,3,24,27,18
261,Morgan,Rielly, D ,TOR,47,3,24,27,24
262,Cam,Atkinson, RW,CBJ,44,12,14,26,6
263,Jakob,Chychrun, D ,ARI,63,12,14,26,38
264,Chandler,Stephenson, C ,WSH/VGS,65,11,15,26,16
265,Andreas,Athanasiou, C ,DET/EDM,55,11,15,26,30
266,Ivan,Barbashev, LW,STL,69,11,15,26,23
267,Kailer,Yamamoto, RW,EDM,27,11,15,26,12
268,Ilya,Kovalchuk, LW,LA/MTL/WSH,46,10,16,26,18
269,Andrew,Copp, C ,WPG,63,10,16,26,10
270,Danton,Heinen, C ,BOS/ANA,67,10,16,26,10
271,Alex,Nylander, LW,CHI,65,10,16,26,10
272,Ryan,Graves, D ,COL,69,9,17,26,45
273,Barclay,Goodrow, LW,SJ/TB,70,8,18,26,97
274,John,Marino, D ,PIT,56,6,20,26,20
275,Ian,Cole, D ,COL,65,4,22,26,36
276,Lawson,Crouse, LW,ARI,66,15,10,25,33
277,Derek,Grant, C ,PHI/ANA,56,15,10,25,30
278,Matt,Calvert, LW,COL,50,12,13,25,39
279,Lucas,Wallmark, C ,CAR/FLA,67,12,13,25,18
280,Marcus,Foligno, LW,MIN,59,11,14,25,30
281,Brandon,Tanev, LW,PIT,68,11,14,25,16
282,Nick,Cousins, C ,MTL/VGS,65,10,15,25,35
283,Jason,Spezza, C ,TOR,58,9,16,25,18
284,Travis,Zajac, C ,NJ,69,9,16,25,28
285,Wayne,Simmonds, RW,BUF/NJ,68,8,17,25,66
286,Carl,Hagelin, LW,WSH,58,8,17,25,16
287,Travis,Sanheim, D ,PHI,69,8,17,25,32
288,Erik,Haula, LW,CAR/FLA,48,12,12,24,22
289,Boone,Jenner, C ,CBJ,70,11,13,24,36
290,Alex,Chiasson, RW,EDM,65,11,13,24,42
291,Alex,Galchenyuk, C ,PIT/MIN,59,8,16,24,16
292,Brady,Skjei, D ,CAR/NYR,67,8,16,24,45
293,Ondrej,Kase, RW,BOS/ANA,55,7,17,24,14
294,Matt,Dumba, D ,MIN,69,6,18,24,41
295,Sean,Walker, D ,LA,70,5,19,24,26
296,Jake,Gardiner, D ,CAR,68,4,20,24,30
297,Filip,Chytil, C ,NYR,60,14,9,23,10
298,Jeff,Skinner, LW,BUF,59,14,9,23,18
299,Ryan,Donato, C ,MIN,62,14,9,23,12
300,Oskar,Sundqvist, C ,STL,57,12,11,23,28
301,Miles,Wood, LW,NJ,68,11,12,23,57
302,Kaapo,Kakko, RW,NYR,66,10,13,23,14
303,Conor,Sheary, LW,BUF/PIT,63,10,13,23,10
304,Vince,Dunn, D ,STL,71,9,14,23,27
305,Patrick,Maroon, LW,TB,64,9,14,23,71
306,Tyson,Jost, C ,COL,67,8,15,23,22
307,Ilya,Mikheyev, RW,TOR,39,8,15,23,4
308,Kirby,Dach, C ,CHI,64,8,15,23,24
309,Colin,White, C ,OTT,61,7,16,23,39
310,Sonny,Milano, LW,ANA/CBJ,55,7,16,23,26
311,Blake,Lizotte, C ,LA,65,6,17,23,20
312,Jake,Muzzin, D ,TOR,53,6,17,23,40
313,Sean,Kuraly, C ,BOS,69,6,17,23,34
314,Sami,Vatanen, D ,CAR/NJ,47,5,18,23,22
315,Esa,Lindell, D ,DAL,69,3,20,23,12
316,Hampus,Lindholm, D ,ANA,56,2,21,23,34
317,Patrick,Marleau, C ,PIT/SJ,66,11,11,22,14
318,Richard,Panik, RW,WSH,59,9,13,22,36
319,Teddy,Blueger, C ,PIT,69,9,13,22,25
320,Pierre-Edouard,Bellemare, RW,COL,69,9,13,22,17
321,Dominik,Simon, C ,PIT,64,7,15,22,12
322,Sam,Steel, C ,ANA,65,6,16,22,20
323,Alexander,Wennberg, C ,CBJ,57,5,17,22,16
324,Vinnie,Hinostroza, C ,ARI,68,5,17,22,14
325,Noah,Hanifin, D ,CGY,70,5,17,22,12
326,Rasmus,Andersson, D ,CGY,70,5,17,22,57
327,Marcus,Pettersson, D ,PIT,69,2,20,22,35
328,Josh,Archibald, RW,EDM,62,12,9,21,12
329,Ben,Chiarot, D ,MTL,69,9,12,21,61
330,Jason,Dickinson, C ,DAL,65,9,12,21,6
331,Nick,Ritchie, LW,BOS/ANA,48,9,12,21,97
332,Joel,Farabee, LW,PHI,52,8,13,21,39
333,Matt,Nieto, LW,COL,70,8,13,21,6
334,Andreas,Johnsson, LW,TOR,43,8,13,21,14
335,Jack,Hughes, C ,NJ,61,7,14,21,10
336,Valtteri,Filppula, C ,DET,70,6,15,21,24
337,Tyler,Myers, D ,VAN,68,6,15,21,49
338,Mattias,Janmark, C ,DAL,62,6,15,21,12
339,Ethan,Bear, D ,EDM,71,5,16,21,33
340,Corey,Perry, RW,DAL,57,5,16,21,70
341,Mikko,Koivu, C ,MIN,55,4,17,21,28
342,Will,Butcher, D ,NJ,56,4,17,21,6
343,Matt,Grzelcyk, D ,BOS,68,4,17,21,34
344,Nick,Leddy, D ,NYI,60,3,18,21,14
345,Artem,Anisimov, C ,OTT,49,15,5,20,8
346,Radek,Faksa, C ,DAL,66,11,9,20,42
347,Emil,Bemstrom, C ,CBJ,56,10,10,20,8
348,Ryan,Hartman, RW,MIN,69,9,11,20,69
349,Nick,Paul, LW,OTT,56,9,11,20,24
350,Jimmy,Vesey, LW,BUF,64,9,11,20,15
351,Milan,Lucic, LW,CGY,68,8,12,20,54
352,Tyler,Pitlick, RW,PHI,63,8,12,20,12
353,Michael,Matheson, D ,FLA,59,8,12,20,14
354,Michael,Raffl, LW,PHI,58,8,12,20,14
355,Joel,Edmundson, D ,CAR,68,7,13,20,72
356,Chris,Tanev, D ,VAN,69,2,18,20,41
357,Zemgus,Girgensons, C ,BUF,69,12,7,19,10
358,Brett,Howden, C ,NYR,70,9,10,19,28
359,Kyle,Okposo, RW,BUF,52,9,10,19,28
360,Anders,Bjork, LW,BOS,58,9,10,19,10
361,Brad,Hunt, D ,MIN,59,8,11,19,6
362,Carter,Rowney, RW,ANA,71,8,11,19,14
363,Josh,Leivo, LW,VAN,36,7,12,19,4
364,William,Carrier, LW,VGS,71,7,12,19,39
365,Anton,Stralman, D ,FLA,69,5,14,19,14
366,Connor,Murphy, D ,CHI,58,5,14,19,27
367,Brandon,Carlo, D ,BOS,67,4,15,19,33
368,T.J.,Brodie, D ,CGY,64,4,15,19,36
