,first_name,last_name,GP,G,A,PTS,PIM
634,Sami,Niku,17,0,5,5,12
635,Riley,Stillman,34,0,5,5,14
636,Libor,Hajek,28,0,5,5,12
637,Patrick,Russell,45,0,5,5,12
638,Jesper,Boqvist,35,4,0,4,8
639,Brent,Seabrook,32,3,1,4,8
640,Markus,Granlund,34,3,1,4,14
641,John,Hayden,43,3,1,4,77
642,Ross,Johnston,32,3,1,4,78
643,Morgan,Geekie,2,3,1,4,2
644,Mikkel,Boedker,20,2,2,4,0
645,Christoffer,Ehn,54,2,2,4,2
646,Aleksi,Saarela,9,2,2,4,0
647,Braydon,Coburn,40,1,3,4,16
648,Cameron,Gaunce,3,1,3,4,4
649,Martin,Marincin,26,1,3,4,14
650,Korbinian,Holzer,49,1,3,4,37
651,Valentin,Zykov,15,1,3,4,6
652,Dakota,Mermis,10,1,3,4,4
653,Josh,Anderson,26,1,3,4,17
654,Phil,Di Giuseppe,20,1,3,4,2
655,Brendan,Perlini,40,1,3,4,10
656,Josh,Mahura,11,1,3,4,2
657,Barrett,Hayton,20,1,3,4,14
658,Roman,Polak,41,0,4,4,24
659,Colin,Wilson,9,0,4,4,0
660,Danny,DeKeyser,8,0,4,4,4
661,Dryden,Hunt,21,0,4,4,24
662,Erik,Brannstrom,31,0,4,4,16
663,Carl,Grundstrom,13,0,4,4,8
664,Ilya,Lyubushkin,51,0,4,4,18
665,Isac,Lundestrom,15,0,4,4,0
666,Alex,True,12,0,4,4,2
667,Kieffer,Bellows,8,2,1,3,2
668,Givani,Smith,21,2,1,3,9
669,Martin,Kaut,9,2,1,3,2
670,Jake,Evans,13,2,1,3,0
671,John,Moore,24,2,1,3,11
672,Stefan,Matteau,9,2,1,3,5
673,Austin,Czarnik,8,2,1,3,0
674,Dennis,Gilbert,21,1,2,3,38
675,Mikhail,Vorobyev,20,1,2,3,6
676,Rudolfs,Balcers,15,1,2,3,0
677,Rasmus,Asplund,29,1,2,3,6
678,Andrew,Peeke,22,1,2,3,4
679,Vladimir,Sobotka,16,1,2,3,4
680,Yannick,Weber,41,1,2,3,14
681,Luke,Schenn,25,1,2,3,23
682,Andrew,Agozzino,22,1,2,3,4
683,Luke,Witkowski,12,1,2,3,13
684,Christian,Djoos,11,1,2,3,0
685,Dylan,Sikura,9,1,2,3,0
686,Christian,Jaros,13,0,3,3,6
687,Julien,Gauthier,17,0,3,3,8
688,Calle,Rosen,12,0,3,3,4
689,Adam,Brooks,7,0,3,3,0
690,Justin,Abdelkader,49,0,3,3,25
691,Greg,Pateryn,20,0,3,3,6
692,Alex,Biega,49,0,3,3,24
693,Matt,Irwin,36,0,3,3,15
694,Matt,Tennyson,20,0,3,3,6
695,Nic,Petan,16,0,3,3,4
696,Andreas,Englund,24,0,3,3,12
697,Tyler,Graovac,8,2,0,2,2
698,Connor,Clifton,31,2,0,2,12
699,Logan,O'Connor,16,2,0,2,2
700,Gerald,Mayhew,13,2,0,2,2
701,Cody,Goloubef,26,1,1,2,8
702,Sam,Carrick,9,1,1,2,0
703,Nick,Bjugstad,13,1,1,2,8
704,Fredrik,Claesson,5,1,1,2,0
705,Scott,Wilson,6,1,1,2,2
706,Christian,Folin,16,1,1,2,13
707,Charles,Hudon,15,1,1,2,0
708,Nathan,Walker,5,1,1,2,4
709,Nick,Merkley,4,1,1,2,2
710,Daniel,Sprong,8,1,1,2,0
711,Jeremy,Lauzon,19,1,1,2,29
712,Cole,Bardreau,10,1,1,2,6
713,Connor,Bunnaman,21,1,1,2,2
714,Ryan,Poehling,27,1,1,2,4
715,Nick,Caamano,12,1,1,2,4
716,Adam,Johnson,7,1,1,2,2
717,Steven,Kampfer,10,0,2,2,2
718,Mark,Barberio,21,0,2,2,16
719,Brandon,Pirri,16,0,2,2,8
720,Sven,Baertschi,6,0,2,2,4
721,Tomas,Jurco,12,0,2,2,4
722,Xavier,Ouellet,12,0,2,2,4
723,Matthew,Peca,14,0,2,2,0
724,Joel,Hanley,8,0,2,2,6
725,Jacob,Middleton,10,0,2,2,9
726,Joe,Hicketts,6,0,2,2,2
727,Zach,Senyshyn,4,0,2,2,0
728,Michael,McLeod,12,0,2,2,4
729,Nico,Sturm,6,0,2,2,0
730,Joel,Persson,13,0,2,2,2
731,Kyle,Capobianco,9,1,0,1,2
732,Lukas,Vejdemo,7,1,0,1,0
733,Vitaly,Abramov,2,1,0,1,2
734,Carsen,Twarynski,15,1,0,1,4
735,Klim,Kostin,4,1,0,1,0
736,David,Gustafsson,22,1,0,1,0
737,Egor,Korshkov,1,1,0,1,0
738,Cale,Fleury,41,1,0,1,6
739,David,Kase,6,1,0,1,0
740,Joel,Kiviranta,11,1,0,1,4
741,Mikey,Anderson,6,1,0,1,0
742,Andrew,Ladd,4,1,0,1,4
743,Troy,Brouwer,13,1,0,1,7
744,Micheal,Haley,22,1,0,1,50
745,Brandon,Manning,9,1,0,1,17
746,Patrick,Brown,1,1,0,1,0
747,Miikka,Salomaki,5,1,0,1,4
748,Alan,Quine,9,1,0,1,4
749,Jani,Hakanpaa,5,1,0,1,2
750,Daniel,Carr,11,1,0,1,4
751,Buddy,Robinson,5,1,0,1,7
752,Gemel,Smith,3,1,0,1,4
753,Colby,Cave,11,1,0,1,4
754,Maxim,Letunov,3,1,0,1,0
755,Anthony,Angello,8,1,0,1,4
756,Joel,L'Esperance,3,1,0,1,2
757,Niko,Mikkola,5,0,1,1,0
758,Anton,Lindholm,4,0,1,1,0
759,J.C.,Beaudin,22,0,1,1,7
760,Jordan,Gross,2,0,1,1,0
761,Tyler,Benson,7,0,1,1,0
762,Tim,Gettinger,2,0,1,1,0
763,Gage,Quinney,3,0,1,1,0
764,Mathieu,Olivier,8,0,1,1,4
765,Lias,Andersson,17,0,1,1,4
766,Timothy,Liljegren,11,0,1,1,2
767,Gustav,Lindstrom,16,0,1,1,14
768,Jason,Robertson,3,0,1,1,0
769,Eetu,Luostarinen,8,0,1,1,0
770,Alexander,Volkov,9,0,1,1,6
771,Jack,Studnicka,2,0,1,1,2
772,Lucas,Carlsson,6,0,1,1,0
773,Mason,Marchment,4,0,1,1,0
774,Zach,Whitecloud,16,0,1,1,4
775,Liam,Foudy,2,0,1,1,0
776,Martin,Fehervary,6,0,1,1,6
777,Kiefer,Sherwood,10,0,1,1,6
778,Jonathan,Davidsson,6,0,1,1,0
779,Lean,Bergmann,12,0,1,1,4
780,Chris,Stewart,16,0,1,1,21
781,Brian,Lashoff,9,0,1,1,6
782,Aaron,Ness,24,0,1,1,0
783,Derek,Forbort,20,0,1,1,4
784,Ben,Street,3,0,1,1,0
785,Andy,Andreoff,14,0,1,1,2
786,T.J.,Tynan,16,0,1,1,2
787,Nick,Seeler,12,0,1,1,15
788,Cory,Conacher,4,0,1,1,4
789,Brendan,Gaunce,1,0,1,1,2
790,Jonny,Brodzinski,3,0,1,1,0
791,Carl,Dahlstrom,15,0,1,1,6
792,Peter,Cehlarik,3,0,1,1,2
793,Paul,LaDue,2,0,1,1,0
794,Pontus,Aberg,5,0,1,1,0
795,Ryan,MacInnis,10,0,1,1,0
796,Clark,Bishop,5,0,1,1,4
797,Mark,Friedman,6,0,1,1,2
