,first_name,last_name,GP,G,A,PTS,PIM
144,Logan,Couture,52,16,23,39,18
145,Lars,Eller,69,16,23,39,48
146,Thomas,Chabot,71,6,33,39,42
147,Tyson,Barrie,70,5,34,39,16
148,Christian,Dvorak,70,18,20,38,12
149,Paul,Stastny,71,17,21,38,24
150,Anthony,Mantha,43,16,22,38,34
151,Phil,Kessel,70,14,24,38,22
152,Dylan,Strome,58,12,26,38,16
153,Vincent,Trocheck,62,11,27,38,49
154,Ryan,Ellis,49,8,30,38,19
155,Zach,Hyman,51,21,16,37,23
156,Tyler,Ennis,70,16,21,37,20
157,Charlie,Coyle,70,16,21,37,21
158,Mats,Zuccarello,65,15,22,37,18
159,Chris,Tierney,71,11,26,37,20
160,Oliver,Bjorkstrand,49,21,15,36,12
161,Nazem,Kadri,51,19,17,36,97
162,Jake,Virtanen,69,18,18,36,41
163,Tomas,Hertl,48,16,20,36,16
164,Martin,Necas,64,16,20,36,20
165,Shea,Weber,65,15,21,36,33
166,Ryan,Johansen,68,14,22,36,45
167,Nico,Hischier,58,14,22,36,12
168,Kasperi,Kapanen,69,13,23,36,22
169,Ivan,Provorov,69,13,23,36,24
170,Jaccob,Slavin,68,6,30,36,10
171,Jake,DeBrusk,65,19,16,35,14
172,Nick,Bonino,67,18,17,35,16
173,Dustin,Brown,66,17,18,35,22
174,Carl,Soderberg,70,17,18,35,18
175,Jared,McCann,66,14,21,35,17
176,Ryan,Pulock,68,10,25,35,14
177,Miro,Heiskanen,68,8,27,35,12
178,Drew,Doughty,67,7,28,35,36
179,Frank,Vatrano,69,16,18,34,30
180,Alexander,Radulov,60,15,19,34,46
181,Zack,Kassian,59,15,19,34,69
182,Calle,Jarnkrok,64,15,19,34,14
183,Mikhail,Sergachev,70,10,24,34,58
184,Kevin,Shattenkirk,70,8,26,34,38
185,Oscar,Klefbom,62,5,29,34,24
186,Samuel,Girard,70,4,30,34,17
187,Brandon,Saad,58,21,12,33,16
188,Roope,Hintz,60,19,14,33,16
189,Brett,Connolly,69,19,14,33,26
190,Joonas,Donskoi,65,16,17,33,26
191,Kevin,Labanc,70,14,19,33,38
192,Adam,Gaudette,59,12,21,33,37
193,Matt,Niskanen,68,8,25,33,29
194,Mattias,Ekholm,68,8,25,33,32
195,Rasmus,Ristolainen,69,6,27,33,46
196,Alexander,Edler,59,5,28,33,62
197,Darnell,Nurse,71,5,28,33,48
198,Blake,Coleman,66,21,11,32,56
199,Patric,Hornqvist,52,17,15,32,36
200,Andrew,Mangiapane,68,17,15,32,18
201,Jesper,Bratt,60,16,16,32,6
202,Robby,Fabbri,61,15,17,32,20
203,Jared,Spurgeon,62,12,20,32,18
204,Adrian,Kempe,69,11,21,32,29
205,Derick,Brassard,66,10,22,32,16
206,Pavel,Zacha,65,8,24,32,14
207,John,Klingberg,58,6,26,32,22
208,Charlie,McAvoy,67,5,27,32,41
209,Alex,Goligoski,70,4,28,32,24
210,James,Neal,55,19,12,31,12
211,Craig,Smith,69,18,13,31,34
212,Vladislav,Namestnikov,65,17,14,31,45
213,Luke,Kunin,63,15,16,31,55
214,Joe,Pavelski,67,14,17,31,29
215,Tyler,Johnson,65,14,17,31,16
216,Dominik,Kahun,56,12,19,31,8
217,J.T.,Compher,67,11,20,31,18
218,Nick,Foligno,67,10,21,31,62
219,Rocco,Grimaldi,66,10,21,31,10
220,Filip,Hronek,65,9,22,31,46
221,Kyle,Turris,62,9,22,31,22
222,Damon,Severson,69,8,23,31,52
223,Joe,Thornton,70,7,24,31,34
224,Nate,Schmidt,59,7,24,31,12
225,Mark,Giordano,60,5,26,31,34
226,Josh,Morrissey,65,5,26,31,24
227,Mikael,Granlund,63,17,13,30,28
228,Joel,Armia,58,16,14,30,28
229,Zach,Sanford,58,16,14,30,28
230,Warren,Foegele,68,13,17,30,34
231,Yanni,Gourde,70,10,20,30,49
232,Oliver,Ekman-Larsson,66,9,21,30,38
233,Marcus,Johansson,60,9,21,30,20
234,Seth,Jones,56,6,24,30,20
235,Denis,Gurianov,64,20,9,29,13
236,Tyler,Bozak,67,13,16,29,10
237,Jesper,Fast,69,12,17,29,20
238,Jack,Roslovic,71,12,17,29,12
239,Nino,Niederreiter,67,11,18,29,42
240,Derek,Ryan,68,10,19,29,10
241,Cam,Fowler,59,9,20,29,20
242,Ryan,Dzingel,64,8,21,29,30
243,Joel,Eriksson Ek,62,8,21,29,22
244,Erik,Gustafsson,66,6,23,29,27
245,Viktor,Arvidsson,57,15,13,28,26
246,Derek,Stepan,70,10,18,28,16
247,Colton,Parayko,64,10,18,28,16
248,Alexander,Kerfoot,65,9,19,28,32
249,Jordan,Greenway,67,8,20,28,54
250,Devon,Toews,68,6,22,28,16
251,Jonas,Brodin,69,2,26,28,24
252,Noel,Acciari,66,20,7,27,21
253,Jeff,Carter,60,17,10,27,36
254,Scott,Laughton,49,13,14,27,26
255,Valeri,Nichushkin,65,13,14,27,14
256,Artturi,Lehkonen,70,13,14,27,24
257,Jordan,Staal,68,8,19,27,40
258,Jacob,Trouba,70,7,20,27,61
259,Dmitry,Orlov,69,4,23,27,36
260,Duncan,Keith,61,3,24,27,18
261,Morgan,Rielly,47,3,24,27,24
262,Cam,Atkinson,44,12,14,26,6
263,Jakob,Chychrun,63,12,14,26,38
264,Chandler,Stephenson,65,11,15,26,16
265,Andreas,Athanasiou,55,11,15,26,30
266,Ivan,Barbashev,69,11,15,26,23
267,Kailer,Yamamoto,27,11,15,26,12
268,Ilya,Kovalchuk,46,10,16,26,18
269,Andrew,Copp,63,10,16,26,10
270,Danton,Heinen,67,10,16,26,10
271,Alex,Nylander,65,10,16,26,10
272,Ryan,Graves,69,9,17,26,45
273,Barclay,Goodrow,70,8,18,26,97
274,John,Marino,56,6,20,26,20
275,Ian,Cole,65,4,22,26,36
276,Lawson,Crouse,66,15,10,25,33
277,Derek,Grant,56,15,10,25,30
278,Matt,Calvert,50,12,13,25,39
279,Lucas,Wallmark,67,12,13,25,18
280,Marcus,Foligno,59,11,14,25,30
281,Brandon,Tanev,68,11,14,25,16
282,Nick,Cousins,65,10,15,25,35
283,Jason,Spezza,58,9,16,25,18
284,Travis,Zajac,69,9,16,25,28
285,Wayne,Simmonds,68,8,17,25,66
286,Carl,Hagelin,58,8,17,25,16
287,Travis,Sanheim,69,8,17,25,32
288,Erik,Haula,48,12,12,24,22
289,Boone,Jenner,70,11,13,24,36
290,Alex,Chiasson,65,11,13,24,42
291,Alex,Galchenyuk,59,8,16,24,16
292,Brady,Skjei,67,8,16,24,45
293,Ondrej,Kase,55,7,17,24,14
294,Matt,Dumba,69,6,18,24,41
295,Sean,Walker,70,5,19,24,26
296,Jake,Gardiner,68,4,20,24,30
297,Filip,Chytil,60,14,9,23,10
298,Jeff,Skinner,59,14,9,23,18
299,Ryan,Donato,62,14,9,23,12
300,Oskar,Sundqvist,57,12,11,23,28
301,Miles,Wood,68,11,12,23,57
302,Kaapo,Kakko,66,10,13,23,14
303,Conor,Sheary,63,10,13,23,10
304,Vince,Dunn,71,9,14,23,27
305,Patrick,Maroon,64,9,14,23,71
306,Tyson,Jost,67,8,15,23,22
307,Ilya,Mikheyev,39,8,15,23,4
308,Kirby,Dach,64,8,15,23,24
309,Colin,White,61,7,16,23,39
310,Sonny,Milano,55,7,16,23,26
311,Blake,Lizotte,65,6,17,23,20
312,Jake,Muzzin,53,6,17,23,40
313,Sean,Kuraly,69,6,17,23,34
314,Sami,Vatanen,47,5,18,23,22
315,Esa,Lindell,69,3,20,23,12
316,Hampus,Lindholm,56,2,21,23,34
317,Patrick,Marleau,66,11,11,22,14
318,Richard,Panik,59,9,13,22,36
319,Teddy,Blueger,69,9,13,22,25
320,Pierre-Edouard,Bellemare,69,9,13,22,17
321,Dominik,Simon,64,7,15,22,12
322,Sam,Steel,65,6,16,22,20
323,Alexander,Wennberg,57,5,17,22,16
324,Vinnie,Hinostroza,68,5,17,22,14
325,Noah,Hanifin,70,5,17,22,12
326,Rasmus,Andersson,70,5,17,22,57
327,Marcus,Pettersson,69,2,20,22,35
328,Josh,Archibald,62,12,9,21,12
329,Ben,Chiarot,69,9,12,21,61
330,Jason,Dickinson,65,9,12,21,6
331,Nick,Ritchie,48,9,12,21,97
332,Joel,Farabee,52,8,13,21,39
333,Matt,Nieto,70,8,13,21,6
334,Andreas,Johnsson,43,8,13,21,14
335,Jack,Hughes,61,7,14,21,10
336,Valtteri,Filppula,70,6,15,21,24
337,Tyler,Myers,68,6,15,21,49
338,Mattias,Janmark,62,6,15,21,12
339,Ethan,Bear,71,5,16,21,33
340,Corey,Perry,57,5,16,21,70
341,Mikko,Koivu,55,4,17,21,28
342,Will,Butcher,56,4,17,21,6
343,Matt,Grzelcyk,68,4,17,21,34
344,Nick,Leddy,60,3,18,21,14
345,Artem,Anisimov,49,15,5,20,8
346,Radek,Faksa,66,11,9,20,42
347,Emil,Bemstrom,56,10,10,20,8
348,Ryan,Hartman,69,9,11,20,69
349,Nick,Paul,56,9,11,20,24
350,Jimmy,Vesey,64,9,11,20,15
351,Milan,Lucic,68,8,12,20,54
352,Tyler,Pitlick,63,8,12,20,12
353,Michael,Matheson,59,8,12,20,14
354,Michael,Raffl,58,8,12,20,14
355,Joel,Edmundson,68,7,13,20,72
356,Chris,Tanev,69,2,18,20,41
357,Zemgus,Girgensons,69,12,7,19,10
358,Brett,Howden,70,9,10,19,28
359,Kyle,Okposo,52,9,10,19,28
360,Anders,Bjork,58,9,10,19,10
361,Brad,Hunt,59,8,11,19,6
362,Carter,Rowney,71,8,11,19,14
363,Josh,Leivo,36,7,12,19,4
364,William,Carrier,71,7,12,19,39
365,Anton,Stralman,69,5,14,19,14
366,Connor,Murphy,58,5,14,19,27
367,Brandon,Carlo,67,4,15,19,33
368,T.J.,Brodie,64,4,15,19,36
369,Justin,Braun,62,3,16,19,18
370,Oskar,Lindblom,30,11,7,18,4
371,Mark,Pysyk,58,9,9,18,20
372,P.K.,Subban,68,7,11,18,79
373,Mark,Borowiecki,53,7,11,18,58
374,Mackenzie,Weegar,45,7,11,18,33
375,Cedric,Paquette,61,7,11,18,42
376,Marcus,Sorensen,66,7,11,18,26
377,Johan,Larsson,62,6,12,18,26
378,Brendan,Lemieux,59,6,12,18,111
379,Brandon,Montour,54,5,13,18,28
380,Vladislav,Gavrikov,69,5,13,18,18
381,Brett,Pesce,61,4,14,18,27
382,Matt,Roy,70,4,14,18,10
383,Michal,Kempny,58,3,15,18,22
384,Justin,Holl,68,2,16,18,43
385,Brandon,Sutter,44,8,9,17,25
386,Alex,Tuch,42,8,9,17,8
387,Alex,Steen,55,7,10,17,12
388,Kyle,Clifford,69,7,10,17,68
389,Brock,McGinn,68,7,10,17,17
390,Troy,Stecher,69,5,12,17,32
391,Olli,Maatta,65,4,13,17,20
392,Madison,Bowey,53,3,14,17,34
393,Darren,Helm,68,9,7,16,37
394,Garnet,Hathaway,66,9,7,16,79
395,Blake,Comeau,55,8,8,16,36
396,David,Kampf,70,8,8,16,8
397,Colton,Sceviour,69,6,10,16,6
398,Michael,Amadio,68,6,10,16,10
399,Dillon,Dube,45,6,10,16,6
400,Justin,Faulk,69,5,11,16,32
401,Tucker,Poolman,57,4,12,16,24
402,Ben,Hutton,65,4,12,16,14
403,Philippe,Myers,50,4,12,16,30
404,Erik,Johnson,59,3,13,16,20
405,Alec,Martinez,51,3,13,16,23
406,Mike,Reilly,44,1,15,16,24
407,Colton,Sissons,57,9,6,15,20
408,Drake,Caggiula,40,9,6,15,32
409,Filip,Zadina,28,8,7,15,2
410,Ryan,Reaves,71,8,7,15,47
411,Jordan,Weal,49,8,7,15,14
412,Riley,Sheahan,66,8,7,15,6
413,Tomas,Nosek,67,8,7,15,20
414,Pierre,Engvall,48,8,7,15,6
415,Mathieu,Perreault,49,7,8,15,10
