,first_name,last_name,team,position
168,Kasperi,Kapanen,TOR, RW
169,Ivan,Provorov,PHI, D 
170,Jaccob,Slavin,CAR, D 
171,Jake,DeBrusk,BOS, LW
172,Nick,Bonino,NSH, C 
173,Dustin,Brown,LA, RW
174,Carl,Soderberg,ARI, C 
175,Jared,McCann,PIT, C 
176,Ryan,Pulock,NYI, D 
177,Miro,Heiskanen,DAL, D 
178,Drew,Doughty,LA, D 
179,Frank,Vatrano,FLA, C 
180,Alexander,Radulov,DAL, RW
181,Zack,Kassian,EDM, RW
182,Calle,Jarnkrok,NSH, C 
183,Mikhail,Sergachev,TB, D 
184,Kevin,Shattenkirk,TB, D 
185,Oscar,Klefbom,EDM, D 
186,Samuel,Girard,COL, D 
187,Brandon,Saad,CHI, LW
188,Roope,Hintz,DAL, LW
189,Brett,Connolly,FLA, RW
190,Joonas,Donskoi,COL, RW
191,Kevin,Labanc,SJ, RW
192,Adam,Gaudette,VAN, C 
193,Matt,Niskanen,PHI, D 
194,Mattias,Ekholm,NSH, D 
195,Rasmus,Ristolainen,BUF, D 
196,Alexander,Edler,VAN, D 
197,Darnell,Nurse,EDM, D 
198,Blake,Coleman,NJ/TB, C 
199,Patric,Hornqvist,PIT, RW
200,Andrew,Mangiapane,CGY, LW
201,Jesper,Bratt,NJ, LW
202,Robby,Fabbri,DET/STL, C 
203,Jared,Spurgeon,MIN, D 
204,Adrian,Kempe,LA, RW
205,Derick,Brassard,NYI, C 
206,Pavel,Zacha,NJ, C 
207,John,Klingberg,DAL, D 
208,Charlie,McAvoy,BOS, D 
209,Alex,Goligoski,ARI, D 
210,James,Neal,EDM, LW
211,Craig,Smith,NSH, C 
212,Vladislav,Namestnikov,NYR/OTT/COL, C 
213,Luke,Kunin,MIN, C 
214,Joe,Pavelski,DAL, C 
215,Tyler,Johnson,TB, C 
216,Dominik,Kahun,BUF/PIT, C 
217,J.T.,Compher,COL, LW
218,Nick,Foligno,CBJ, LW
219,Rocco,Grimaldi,NSH, C 
220,Filip,Hronek,DET, D 
221,Kyle,Turris,NSH, C 
222,Damon,Severson,NJ, D 
223,Joe,Thornton,SJ, C 
224,Nate,Schmidt,VGS, D 
225,Mark,Giordano,CGY, D 
226,Josh,Morrissey,WPG, D 
227,Mikael,Granlund,NSH, C 
228,Joel,Armia,MTL, RW
229,Zach,Sanford,STL, LW
230,Warren,Foegele,CAR, LW
231,Yanni,Gourde,TB, LW
232,Oliver,Ekman-Larsson,ARI, D 
233,Marcus,Johansson,BUF, C 
234,Seth,Jones,CBJ, D 
235,Denis,Gurianov,DAL, RW
236,Tyler,Bozak,STL, C 
237,Jesper,Fast,NYR, RW
238,Jack,Roslovic,WPG, C 
239,Nino,Niederreiter,CAR, RW
240,Derek,Ryan,CGY, C 
241,Cam,Fowler,ANA, D 
242,Ryan,Dzingel,CAR, LW
243,Joel,Eriksson Ek,MIN, C 
244,Erik,Gustafsson,CGY/CHI, D 
245,Viktor,Arvidsson,NSH, RW
246,Derek,Stepan,ARI, C 
247,Colton,Parayko,STL, D 
248,Alexander,Kerfoot,TOR, C 
249,Jordan,Greenway,MIN, LW
250,Devon,Toews,NYI, D 
251,Jonas,Brodin,MIN, D 
252,Noel,Acciari,FLA, C 
253,Jeff,Carter,LA, C 
254,Scott,Laughton,PHI, C 
255,Valeri,Nichushkin,COL, RW
256,Artturi,Lehkonen,MTL, LW
257,Jordan,Staal,CAR, C 
258,Jacob,Trouba,NYR, D 
259,Dmitry,Orlov,WSH, D 
260,Duncan,Keith,CHI, D 
261,Morgan,Rielly,TOR, D 
262,Cam,Atkinson,CBJ, RW
263,Jakob,Chychrun,ARI, D 
264,Chandler,Stephenson,WSH/VGS, C 
265,Andreas,Athanasiou,DET/EDM, C 
266,Ivan,Barbashev,STL, LW
267,Kailer,Yamamoto,EDM, RW
268,Ilya,Kovalchuk,LA/MTL/WSH, LW
269,Andrew,Copp,WPG, C 
270,Danton,Heinen,BOS/ANA, C 
271,Alex,Nylander,CHI, LW
272,Ryan,Graves,COL, D 
273,Barclay,Goodrow,SJ/TB, LW
274,John,Marino,PIT, D 
275,Ian,Cole,COL, D 
276,Lawson,Crouse,ARI, LW
277,Derek,Grant,PHI/ANA, C 
278,Matt,Calvert,COL, LW
279,Lucas,Wallmark,CAR/FLA, C 
280,Marcus,Foligno,MIN, LW
281,Brandon,Tanev,PIT, LW
282,Nick,Cousins,MTL/VGS, C 
283,Jason,Spezza,TOR, C 
284,Travis,Zajac,NJ, C 
285,Wayne,Simmonds,BUF/NJ, RW
286,Carl,Hagelin,WSH, LW
287,Travis,Sanheim,PHI, D 
288,Erik,Haula,CAR/FLA, LW
289,Boone,Jenner,CBJ, C 
290,Alex,Chiasson,EDM, RW
291,Alex,Galchenyuk,PIT/MIN, C 
292,Brady,Skjei,CAR/NYR, D 
293,Ondrej,Kase,BOS/ANA, RW
294,Matt,Dumba,MIN, D 
295,Sean,Walker,LA, D 
296,Jake,Gardiner,CAR, D 
297,Filip,Chytil,NYR, C 
298,Jeff,Skinner,BUF, LW
299,Ryan,Donato,MIN, C 
300,Oskar,Sundqvist,STL, C 
301,Miles,Wood,NJ, LW
302,Kaapo,Kakko,NYR, RW
303,Conor,Sheary,BUF/PIT, LW
304,Vince,Dunn,STL, D 
305,Patrick,Maroon,TB, LW
306,Tyson,Jost,COL, C 
307,Ilya,Mikheyev,TOR, RW
308,Kirby,Dach,CHI, C 
309,Colin,White,OTT, C 
