,first_name,last_name,team,position
729,Nico,Sturm,MIN, C 
730,Joel,Persson,EDM, D 
731,Kyle,Capobianco,ARI, D 
732,Lukas,Vejdemo,MTL, C 
733,Vitaly,Abramov,OTT, RW
734,Carsen,Twarynski,PHI, LW
735,Klim,Kostin,STL, LW
736,David,Gustafsson,WPG, C 
737,Egor,Korshkov,TOR, RW
738,Cale,Fleury,MTL, D 
739,David,Kase,PHI, RW
740,Joel,Kiviranta,DAL, LW
741,Mikey,Anderson,LA, D 
742,Andrew,Ladd,NYI, LW
743,Troy,Brouwer,STL, RW
744,Micheal,Haley,NYR, C 
745,Brandon,Manning,EDM, D 
746,Patrick,Brown,VGS, C 
747,Miikka,Salomaki,NSH, RW
748,Alan,Quine,CGY, C 
749,Jani,Hakanpaa,ANA, D 
750,Daniel,Carr,NSH, LW
751,Buddy,Robinson,CGY, RW
752,Gemel,Smith,TB, C 
753,Colby,Cave,EDM, C 
754,Maxim,Letunov,SJ, C 
755,Anthony,Angello,PIT, C 
756,Joel,L'Esperance,DAL, RW
757,Niko,Mikkola,STL, D 
758,Anton,Lindholm,COL, D 
759,J.C.,Beaudin,OTT, C 
760,Jordan,Gross,ARI, D 
761,Tyler,Benson,EDM, LW
762,Tim,Gettinger,NYR, LW
763,Gage,Quinney,VGS, LW
764,Mathieu,Olivier,NSH, C 
765,Lias,Andersson,NYR, C 
766,Timothy,Liljegren,TOR, D 
767,Gustav,Lindstrom,DET, D 
768,Jason,Robertson,DAL, LW
769,Eetu,Luostarinen,CAR, C 
770,Alexander,Volkov,TB, RW
771,Jack,Studnicka,BOS, C 
772,Lucas,Carlsson,CHI, D 
773,Mason,Marchment,TOR, LW
774,Zach,Whitecloud,VGS, D 
775,Liam,Foudy,CBJ, C 
776,Martin,Fehervary,WSH, D 
777,Kiefer,Sherwood,ANA, RW
778,Jonathan,Davidsson,OTT, RW
779,Lean,Bergmann,SJ, LW
780,Chris,Stewart,PHI, RW
781,Brian,Lashoff,DET, D 
782,Aaron,Ness,ARI, D 
783,Derek,Forbort,CGY/LA, D 
784,Ben,Street,NJ, RW
785,Andy,Andreoff,PHI, C 
786,T.J.,Tynan,COL, C 
787,Nick,Seeler,CHI/MIN, D 
788,Cory,Conacher,TB, LW
789,Brendan,Gaunce,BOS, C 
790,Jonny,Brodzinski,SJ, C 
791,Carl,Dahlstrom,WPG, D 
792,Peter,Cehlarik,BOS, LW
793,Paul,LaDue,LA, D 
794,Pontus,Aberg,TOR, LW
795,Ryan,MacInnis,CBJ, C 
796,Clark,Bishop,CAR, C 
797,Mark,Friedman,PHI, D 
